,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q44540,"If you were in a serious relationship, would you mind if your significant other maintained an active profile on OkCupid?",Yes - I would mind this.,No - This would not bother me.,,,23911,O,,preference; descriptive
q44639,Do you like scary movies?,Yes,No,,,54964,O,,preference
q45006,Imagine you have a significant other who reveals they have a video of a sexual encounter from a prior relationship and offers to show it to you.  Would you want to see it?,Yes.,No.,,,28956,O,,sex/intimacy; preference
q45645,Have you ever faked an orgasm during sex?,Yes.,No.,,,23016,O,,sex/intimacy; descriptive
q46176,Is it possible for someone to really be 'too nice'?,Yes.,No.,,,24783,O,,opinion
q46403,Could you date someone who needs a great deal of alone time?,Yes.,No.,,,33397,O,,preference
q46856,Do you prefer the people in your life to be simple or complex?,Simple,Complex,,,30997,O,,preference
q47635,Imagine you have a partner who is able to provide financially for you and any children.  Would you consider taking a stay-at-home role?,Yes.,No.,,,23885,O,,preference; descriptive
q47764,Do you think it is possible for someone to be an Atheist and still have a solid moral framework by which to live?,Yes.,No.,,,31211,O,,religion/superstition
q48328,Do you believe that money can buy happiness?,Yes.,No.,,,26485,O,,opinion
q48347,Do you think you could ever enjoy being humiliated as part of a sexual experience?,Yes,No,,,29201,O,,sex/intimacy
q48372,Do you believe in the power of prayer?,Yes,No,,,34783,O,,religion/superstition
q48770,Would it ever be okay to break up with someone by email or text?,Yes.,No.,,,23313,O,,opinion
q76,Are you a morning person?,Yes,No,,,27218,O,,descriptive
q86,Do you own a gun?,Yes,No,,,25688,O,,descriptive
q87,Is smoking disgusting?,Yes,No,,,47244,O,,opinion
q91,"Honestly, which do you do more of?",Watch television,Read,,,23830,N,,descriptive
q105,Do you have a child or children?,Yes,No,,,31097,O,,descriptive
q106,Have you ever been married?,Yes,No,,,28994,O,,descriptive
q114,"Is it okay to live with someone you're dating, even before you're engaged or married?",Yes,No,,,30969,O,,sex/intimacy; opinion
q123,Would you strongly prefer to go out with someone of your own skin color / racial background?,Yes,No,,,53312,O,,preference
q124,Do you work out a lot?,Yes,No,,,26934,O,,descriptive
q28903,Which of these is likely to make you more nervous?,A promising first date,An important interview,,,44454,N,,descriptive; preference
q294,Which is more important for a good match?,Having similar political beliefs,Having good sex,,,26731,O,,politics; preference; opinion; sex/intimacy
q30903,"If you're in a relationship you expect will last for the rest of your life, is it important to you that it be the most satisfying sexual relationship you have ever had?",Yes,No,,,28849,O,,sex/intimacy
q34,Are you more horny or more lonely?,Horny,Lonely,,,23592,N,,sex/intimacy
q34094,Do you believe a couple should live together before considering marriage?,Yes,No,,,29905,O,,opinion
q357,Which makes for a better first date?,Coffee and chit-chat,Drinks and groping,,,26341,N,,sex/intimacy; preference; opinion
q358080,What is the most exciting thing about getting to know someone new?,Discovering your shared interests,Discovering their body,,,48981,N,,opinion
q359387,"Do you believe morality is universal, or relative?",Universal,Relative,,,34021,N,,opinion
q501,Have you smoked a cigarette in the last 6 months?,Yes,No,,,57123,O,,descriptive
q512,Do you like to dance?,Yes,No,,,23504,O,,preference
q527,Is marriage a necessity for two people who love each other?,Yes,No,,,35270,O,,sex/intimacy; religion/superstition
q538,Would you ever record a video of yourself having sex?,Yes,No,,,25806,O,,sex/intimacy
q546,Would you date a transgender person?,Yes,No,,,25729,O,,sex/intimacy; preference
q553,Do spelling mistakes annoy you?,Yes,No,,,53159,O,,preference
q577,How many dates does it take for a potential significant other to get a good sense of who you are as a person?,Less than five,More than five,,,24163,O,,sex/intimacy
q594,Can anything be made the subject of a joke?,"Yes, anything can be funny in the right light.","No, some subjects should not be joked about.",,,36996,O,,politics; opinion
q605,"Would you date someone who was looking for true love - but no sex, at all, ever?",Yes,No,,,23360,O,,sex/intimacy
q614,"If you could have brilliant skill at something, would you prefer:",something practical?,something fun?,,,35755,O,,preference
q617,"If evil forces made you choose to either watch tv OR read books for the rest of your life, you would:",watch tv,read books,,,23014,N,,preference
q763,Do you believe in karma?,Yes,No,,,25417,O,,religion/superstition
q784,Would you be okay with your significant other spending a lot of time with one of his/her exes (as a friend)?,Yes,No,,,38166,O,,sex/intimacy; preference
q838,"For you personally, is abortion an option in case of an accidental pregnancy?",Yes,No,,,44461,O,,politics; religion/superstition; opinion
q898,"Is it possible to have a true relationship, friend or otherwise, with someone you've never met in person?",Yes,No,,,23078,O,,sex/intimacy; opinion
q963,Is foreplay necessary for good sex?,Yes,No,,,31118,O,,sex/intimacy
q1040,Receiving anal sex?,I like it / I think I might like it,I don't like it / I don't think I would like it,,,28476,O,,sex/intimacy
q1099,Are you smarter than most people?,Yes,No,,,36529,O,,descriptive; cognitive
q1112,Do you like the taste of beer?,Yes,No,,,32538,O,,preference
q1119,Does your partner have to be an active reader?,Yes,No,,,30205,O,,preference
q1133,Do you have rape fantasies?,Yes,No,,,28546,O,,sex/intimacy
q1158,"Are you married, engaged to be married, or in a relationship that you believe will lead to marriage?",Yes,No,,,25211,O,,sex/intimacy; descriptive
q1172,Do you own any dice with more than six sides?,Yes,No,,,28736,O,,descriptive
q1375,Are geeks sexy?,Yes,No,,,26971,O,,sex/intimacy; preference; opinion
q1387,"Would you ever engage in a sexual activity you didn't enjoy, just because your partner did?",Yes,No,,,25029,O,,sex/intimacy
q1440,Is jealousy healthy in a relationship?,Yes,No,,,51882,O,,opinion
q1454,"Do you enjoy outdoor activities such as camping, hiking or fishing?",Yes,No,,,35889,O,,preference
q1597,Would you consider sleeping with someone on the first date?,Yes,No,,,52509,O,,sex/intimacy; preference
q1815,Could you date someone who already has children from a previous relationship?,Yes,No,,,46323,O,,preference
q1830,What makes a better friend?,Quick wit and a mischievous smile,Compassionate nature and a shoulder to support you,,,23094,N,,preference; opinion
q2457,Does spending Friday or Saturday night at home annoy you?,Yes,No,,,27772,O,,preference
q4018,Are you happy with your life?,Yes,No,,,53625,O,,descriptive
q5417,Would you date someone who still lives with his/her parents?,Yes,No,,,31215,O,,preference
q6040,Were you born the same gender as you are now?,Yes,No,,,25650,O,,descriptive
q6111,Do overweight people annoy you?,Yes,No,,,26093,O,,descriptive; preference; opinion
q6258,Would you date someone who is bisexual?,Yes,No,,,33111,O,,sex/intimacy; preference
q37708,The idea of gay and lesbian couples having children is:,Acceptable.,Not acceptable.,,,37661,O,,politics; religion/superstition; opinion
q38320,Is it generally acceptable to you for a sex partner to initiate foreplay while you are sleeping?,Yes.,No.,,,26301,O,,sex/intimacy
q38767,Is it okay for men to wear makeup?,Yes,No,,,29029,O,,opinion
q38838,Have you ever had sex with someone you first met online?,Yes.,No.,,,26290,O,,descriptive
q39714,Do you find the idea of shaving a partner's pubic hair exciting?,Yes.,No.,,,24479,O,,sex/intimacy
q50379,"Imagine being all alone in the great outdoors, miles from anyone, with no communication device.  Nobody knows where you are.",This is something I would like.,This is something I would avoid.,,,26241,O,,descriptive
q50483,Do you consider astrology to be a legitimate science?,Yes.,No.,,,24653,O,,religion/superstition
q50755,Do you believe that everything happens for a reason?,Yes.,No.,,,28223,O,,religion/superstition
q55264,Do you think that a person's musical preferences are a good indicator of intelligence?,Yes.,No.,,,24782,O,,opinion
q55355,Do you have a problem with people who wear fur clothing?,Yes.,No.,,,24055,O,,politics
q55980,Would you like to be the supreme ruler of all people on Earth?,Yes.,No.,,,23410,O,,preference
q57717,Do you feel that having sex with someone you have known less than one year would be too soon?,Yes.,No.,,,29322,O,,sex/intimacy; opinion
q58812,Would you consider roleplaying out a rape fantasy with partner who asked you to?,Yes.,No.,,,29249,O,,sex/intimacy
q59457,Are you okay with people who grow marijuana for their own personal use?,Yes.,No.,,,36553,O,,politics
q60100,Is astrological sign at all important in a match?,Yes,No,,,55643,O,,religion/superstition
q40570,"Is it more important to you that you are tactful, or truthful?",Tactful,Truthful,,,27327,O,,preference
q40944,Do you have a checklist of mandatory traits that you absolutely require in any significant other?,Yes.,No.,,,27473,O,,preference; descriptive
q6347,Do you believe in miracles?,Yes,No,,,26723,O,,religion/superstition; descriptive
q6537,Could you live without the Internet?,Yes,No,,,26252,O,,descriptive
q6867,Would you enjoy a night in playing video games?,Yes,No,,,28537,O,,preference
q6971,Is VERY short hair on a girl necessarily unattractive?,Yes,No,,,22956,O,,preference; opinion
q7077,Which is better: sex without sleeping together or sleeping together without sex?,Sex,Sleeping,,,28853,N,,sex/intimacy
q8054,Have you ever been in love?,Yes,No,,,34876,O,,sex/intimacy; descriptive
q9522,Would you date someone who has never been in any kind of relationship before?,Yes,No,,,26425,O,,preference
q12964,Would you need to sleep with someone before you considered marrying them?,Yes,No,,,50115,O,,sex/intimacy; preference
q13054,What do you think of laws that make smoking illegal in bars and restaurants?,I support the laws,I oppose the laws,,,31143,O,,politics
q13086,Would you date a single parent?,Yes,No,,,27359,O,,preference
q13669,Would you date someone shorter than you?,Yes,No,,,25579,O,,preference
q14913,Did you join OkCupid just so you could find people to have sex with?,Yes,No,,,39790,O,,sex/intimacy; descriptive
q15037,"If someone asked you, 'What's the worst thing you've ever done?' would you know the answer right away?",Yes,No,,,28810,O,,descriptive
q15182,Which is worse?,Someone who is always happy,Someone who is always sad,,,22957,O,,opinion
q15280,Could you date someone with no long-term goals?,Yes,No,,,31581,O,,preference
q15372,Could you date someone who has strong political opinions that are the exact opposite of yours?,Yes,No,,,28929,O,,politics; preference
q15839,Do you often find yourself wanting to chuck it all and go to live on a sailboat?,Yes,No,,,24352,O,,descriptive
q16713,Are you careful with your money?,Yes,No,,,39863,O,,descriptive
q67821,Would it bother you if your partner kept pictures of previous partner(s)?,Yes.,No.,,,29581,O,,descriptive
q68401,Could you fall in love with someone you have only talked to online?,Yes.,No.,,,28370,O,,descriptive
q68580,"After dating someone for a while, you finally get to see where they live. He/she leaves you alone to go take a quick shower. Would you snoop?",Yes.,No.,,,23502,O,,descriptive
q69912,"Other things being equal, would you be more attracted to an artist or a scientist?",Artist,Scientist,,,24827,O,,preference
q72086,"If your partner needed lovemaking to always be gentle, would you be fine with this?",Yes.,No.,,,32810,O,,sex/intimacy
q80041,Are you looking for a partner to have children with?,Yes,No,,,40026,O,,descriptive
q81307,Have you ever had sex with a person within the first hour of meeting them?,Yes.,No.,,,28991,O,,sex/intimacy; descriptive
q81847,Would you date someone who has cold-sores (oral herpes)?,Yes.,No.,,,22945,O,,preference; descriptive
q27243,I find myself in fights with authority figures...,Often,Rarely / never,,,28814,O,,descriptive
q27477,Do you often find yourself worrying about things that you have no control over?,Yes,No,,,33120,O,,descriptive
q27794,Would you date someone who was always optimistic?,Yes,No,,,24852,O,,preference
q28902,Would you consider a serious relationship with someone who couldn't have or produce children?,Yes,No,,,24528,O,,descriptive; preference
q31055,Would you date someone who kept a gun in the house?,Yes,No,,,31549,O,,preference
q33870,"Would the fact that a partner insisted you were perfect (had no faults) and refused to acknowledge your shortcomings, bother you?",Yes,No,,,24973,O,,descriptive
q17168,Could you date someone who wasn't sure what they wanted to do with their life?,Yes,No,,,24782,O,,preference
q18125,Do you believe that there exists a statistical correlation between race and intelligence?,Yes,No,,,25980,O,,politics; cognitive
q18619,Have you ever had a sexual relationship with someone you met online?,Yes,No,,,23146,O,,sex/intimacy; descriptive
q18644,Does your ideal schedule involve staying up very late at night and sleeping during the day?,Yes,No,,,23080,O,,preference
q18692,Do you have an ex that you would really like to date again?,Yes,No,,,31366,O,,sex/intimacy; descriptive
q18843,Are you a good liar?,Yes,No,,,29472,O,,descriptive
q18955,Would you date someone who's smart but achieved nothing in life?,Yes,No,,,24118,O,,preference
q19011,Do you have a TV in your bedroom?,Yes,No,,,25467,O,,descriptive
q19075,Would you date someone who doesn't own a car?,Yes,No,,,28928,O,,preference
q13130,"Hypothetically, do you think you would be good at being a porn star?",Yes,No,,,23277,O,,sex/intimacy; descriptive
q142,Is it possible to love someone you don't even like?,Yes,No,,,22947,O,,sex/intimacy; opinion
q149,Which makes for a better relationship?,Passion,Dedication,,,49355,N,,sex/intimacy
q1497,Which would you rather choose: peace on Earth or loads of money?,Peace on Earth,Loads of money,,,23884,N,,politics; preference
q15478,Do you like hickies?,Yes,No,,,25015,O,,sex/intimacy
q155,Would you ever seriously date someone twice your age?,Yes,No,,,26336,O,,preference
q15744,Are you a pet person?,Yes,No,,,25704,O,,descriptive
q158,Are you an aspiring actor/artist/writer or other creative type?,Yes,No,,,40052,O,,descriptive
q165644,What's worse on a first date?,No physical attraction,Nothing to talk about,,,40161,O,,religion/superstition; descriptive
q171,What's more important to you?,Your world,Your country,,,25571,O,,politics; preference
q1766,Is art important to you?,Yes,No,,,38244,O,,preference
q18682,Do you think physical love is necessary for happiness in life?,Yes,No,,,26153,O,,opinion
q19365,"If you meet someone and they are everything you are looking for, except their body type, do you give them a chance?",Yes,No,,,25296,O,,preference
q19737,Could you live a life full of traveling?,Yes,No,,,24187,O,,descriptive
q19392,Have you ever written something on the wall of a public toilet?,Yes,No,,,28999,O,,descriptive
q19681,Are some sex acts with consenting adults inherently wrong or immoral?  Assume no unusual risk of injury.,Yes,No,,,27949,O,,sex/intimacy; religion/superstition
q19854,Are sex and intimacy the same thing?,Yes,No,,,29800,O,,sex/intimacy; opinion
q19893,Is a tongue stud a turn-on?,Yes,No,,,23472,O,,sex/intimacy; preference
q19919,"Would you prefer to have one true love forever, or lots of fun and meaningful relationships?",One true love,Lots of relationships,,,24947,O,,sex/intimacy; preference
q20240,"What is worse, being poor or alone?",Poor,Alone,,,26654,N,,opinion
q20530,"When chatting with a potential friend/significant other online, is use of proper grammar and spelling important to you?",Yes,No,,,30682,O,,preference
q20950,People who throw cigarette butts out of their car window...,Are not doing any real harm,Are being insensitive and/or rude,,,23987,N,,opinion
q21527,Do you feel there are any circumstances in which a person is obligated to have sex with you?,Yes,No,,,30992,O,,sex/intimacy; opinion
q82263,Would being in the same room with a couple of friends who are having sex bother you?,Yes.,No.,,,27995,O,,sex/intimacy; descriptive
q83646,Would you consider living with a partner who does not want any pets?,Yes.,No.,,,32223,O,,descriptive
q84023,Could you live the rest of your life without drinking alcohol?,Yes.,No.,,,24839,O,,descriptive
q84910,Would it bother you if someone you are dating has a lot of close friends of the opposite sex?,Yes.,No.,,,24726,O,,descriptive
q156917,Are you an Atheist?,Yes,No,,,23359,O,,descriptive
q170849,Do you Google someone before a first date?,Yes. Knowledge is power!,No. Why spoil the mystery?,,,39621,O,,descriptive; technology
q179268,Are you either vegetarian or vegan?,Yes,No,,,54202,O,,politics; descriptive
q313640,Were you picked on a lot in school?,Yes,No,,,34128,O,,descriptive
q358014,Could you date someone who was really quiet?,Yes,No,,,48415,O,,preference
q358077,Could you date someone who was really messy?,Yes,No,,,55695,O,,preference
q358084,Do you enjoy intense intellectual conversations?,Yes,No,,,54696,O,,descriptive
q445141,Which superpower would you rather have?,Flight,Invisibility,,,37000,N,,preference
q12584,Do you enjoy exercise?,Yes,No,,,27664,O,,descriptive
q1290,Do you feel like you're still hurting from something that happened to you a long time ago?,Yes,No,,,26085,O,,descriptive
q23834,Do you often make jokes that offend more uptight people?,Yes,No,,,44922,O,,descriptive
q24125,Do you believe contraception is morally wrong?,Yes,No,,,48530,O,,religion/superstition
q24748,Would you date a comic book geek?,Yes,No,,,22921,O,,preference; descriptive
q25228,Do you think drug use with your partner can be a romantic activity?,Yes,No,,,37188,O,,sex/intimacy; preference; opinion
q26529,Have you ever taken any pills hoping they would help you lose weight?,Yes,No,,,24733,O,,descriptive
q26557,You're dating someone new. You discover that they have a housemate the same sex as you. This:,Makes you feel uncomfortable,Doesn't faze you one bit,,,33640,O,,descriptive
q60852,Do you believe that regular sex is necessary in maintaining a healthy relationship?,Yes,No,,,32953,O,,sex/intimacy; opinion
q61786,Would you consider dating someone whose religion or spirituality is the primary focus in their life?,Yes,No,,,33979,O,,religion/superstition
q62254,"If it were legal to do so where you live, would you smoke marijuana?",Yes.,No.,,,34257,O,,descriptive
q65043,Do you own any sexy underwear?,Yes.,No.,,,23327,O,,descriptive
q68185,Would you enjoy going fishing with your partner?,Yes.,No.,,,22869,O,,preference
q13,Is a girl who's slept with 100 guys a bad person?,Yes,No,,,32581,O,,sex/intimacy
q14,Is a guy who's slept with 100 girls a bad person?,Yes,No,,,31127,O,,sex/intimacy
q17,Would you date someone just for the sex?,Yes,No,,,38180,O,,sex/intimacy
q26,Have you ever owned sex toys?,Yes,No,,,25010,O,,sex/intimacy
q28,Would you dump someone simply because they weren't good at sex?,Yes,No,,,30477,O,,sex/intimacy
q33,Do you like kissing in public?,Yes,No,,,23004,O,,sex/intimacy
q35,"Regardless of future plans, what's more interesting to you right now?",Sex,Love,,,50384,N,,sex/intimacy
q39,Would you let your children under 13 watch movies with full nudity?,Yes,No,,,26933,O,,sex/intimacy
q46,"Would you prefer good things happened, or interesting things?",Good,Interesting,,,52112,N,,preference
q48,Which would you rather be?,Normal,Weird,,,52464,N,,preference
q49,Which word describes you better?,Carefree,Intense,,,49827,N,,descriptive
q55,Does the idea of flipping a coin to make important life decisions appeal to you?,Yes,No,,,34393,O,,preference
q56,Are you attracted to dangerous situations?,Yes,No,,,39510,O,,preference
q57,Do you like to argue?,Yes,No,,,33896,O,,preference
q63,Which word describes you better?,Private,Social,,,23765,O,,descriptive
q65,Do you have a problem with racist jokes?,Yes,No,,,38041,O,,preference
q70,Do you think homosexuality is a sin?,Yes,No,,,48983,O,,religion/superstition
q71,Is interracial marriage a bad idea?,Yes,No,,,32492,O,,politics
q73,Would you rather live in the big city or a small town?,Big city,Small town,,,28084,O,,preference
q74,Do you spend more money on clothes or food?,Clothes,Food,,,33168,N,,preference
q226,Which would you rather lose?,the right to bear arms,the right to vote,,,30519,N,,politics; preference
q275,Are you a virgin?,Yes,No,,,29250,O,,sex/intimacy; descriptive
q301,Are you annoyed by people who are super logical?,Yes,No,,,35878,O,,preference
q307,Do you like wild parties?,Yes,No,,,27957,O,,preference
q308,"If you like someone a lot, do you usually ask them out?",Yes,No,,,37597,O,,descriptive
q309,"Have you ever had a true one-night stand? (You met someone, had sex that night, and never contacted each other again.)",Yes,No,,,28425,O,,sex/intimacy; descriptive
q134,Do you think women have an obligation to keep their legs shaved?,Yes,No,,,40673,O,,preference
q136,Would you get upset if your girlfriend/boyfriend flirted in front of you?,Yes,No,,,36168,O,,sex/intimacy; preference; descriptive
q146,Choose the better romantic activity:,Kissing in Paris,"Kissing in a tent, in the woods",,,39103,N,,sex/intimacy; preference
q154,"In a certain light, wouldn't nuclear war be exciting?","Yes, it would.","No, it wouldn't.",,,50514,O,,opinion
q175,Should burning your country's flag be illegal?,Yes,No,,,45720,O,,politics
q185,Are you really into Anime (Japanese Animation) movies?,Yes,No,,,23792,O,,descriptive
q186,"If you got married, would you change your name?",Yes,No,,,24230,O,,preference; descriptive
q193,Do you say grace before meals?,Yes,No,,,23814,O,,religion/superstition
q209,Will you teach your children to believe in Santa?,Yes,No,,,26138,O,,religion/superstition
q210,Do you believe in God?,Yes,No,,,35015,O,,religion/superstition
q213,Are some human lives worth more than others?,Yes,No,,,28215,O,,politics; opinion
q219,Gay marraige: should it be legal?,Yes,No,,,33413,O,,religion/superstition
q38230,Would you really like to stay home and spend an entire day (24 hours) in bed (getting up only for the necessities) with your ideal significant other?,Yes.,No.,,,23810,O,,preference
q39185,Which is more offensive: book burning or flag burning?,book burning,flag burning,,,36598,N,,politics
q42282,"Some friends invite you to go camping where there are no showers, no toilets, and no services.  The only luxuries would be those you could carry in a pack on your back. Do you go?",Yes.,No.,,,24690,O,,descriptive
q44,Some religions are more correct than others.,True,False,,,29109,O,,religion/superstition
q455,Would the world be a better place if people with low IQs were not allowed to reproduce?,Yes,No,,,35500,O,,politics
q48557,Do you find arrogance to be a turn-on?,Yes.,No.,,,25764,O,,preference
q48947,Is intoxication ever an acceptable excuse for acting stupid?,Yes.,No.,,,27599,O,,opinion
q496,"When a relationship ends, what's the best thing to do?",Try and be friends with your ex,Go your separate ways,,,23651,O,,sex/intimacy; opinion
q54016,Are you afraid of falling madly in love?,Yes.,No.,,,23850,O,,descriptive
q62455,Are you a workaholic?,Yes.,No.,,,23967,O,,descriptive
q64,Which is more important in a healthy relationship?,Maintaining privacy,Total openness,,,24393,O,,sex/intimacy
q59597,"If given the chance, would you rather learn to play a musical instrument or learn to speak another language?",Play a musical instrument.,Speak another langauge.,Neither.,,23486,N,,preference
q67418,What is your opinion of couples who frequently say 'I love you' to one another?,It's sweet.,It's annoying.,I'm indifferent to this.,,24021,O,"2, 3, 1",opinion
q38173,Do you enjoy watching educational programming on television?,"Yes, often.","Yes, on occasion.","No, never.",,25991,O,,descriptive
q39576,How important is it for you to give expensive gifts on a regular basis when in a relationship?,Very important.,Somewhat important.,Not at all important.,,24735,O,,preference
q40441,"If you were to die, would whoever goes through your personal belongings be shocked by what they find?",Yes.,No.,Maybe a little bit.,,41572,O,"2, 3, 1",descriptive
q179,Who's smarter on average?,Men,Women,"Neither, they're the same on average",,23841,O,"1, 3, 2",opinion
q126,What kind of shape are you in?,Great,Average,Shitty,,26252,O,,descriptive
q128,Do you have any tattoos?,I have 1 or more BIG tattoos,I have 1 or more LITTLE tattoos,I have no tattoos,,40450,O,,descriptive
q132,Can you run a mile without stopping?,Yes,No,Yes - And More,,22862,O,"3, 1, 2",descriptive
q234,Does fashion matter to you?,A lot,A little,Not at all,,26847,O,,preference
q32,Group sex (with 3 or more people):,I have tried it.,It seriously interests me.,I have little or no interest.,,32816,O,,sex/intimacy
q9628,Biting?,No,Yes,Let's break skin,,28487,O,,sex/intimacy
q29,Would you rather:,be tied up during sex,do the tying,avoid bondage all together,,30567,N,,sex/intimacy; BDSM
q30,Would you like to receive pain during sex?,"Yes, lots and lots","Yes, some",No,,32084,O,,sex/intimacy; BDSM
q60843,"If you were to get married, would you want your partner to change his or her last name to yours?",Yes.,No.,I would want them to make their own decision.,,36563,O,"2, 3, 1",descriptive; preference
q61133,Would you be comfortable masturbating in front of a partner?,Yes.,No.,I don't masturbate.,,23091,M,[3],sex/intimacy
q62140,Does it bother you when people are late?,"Yes, always.","No, never.","Sometimes, it depends upon the circumstances.",,25559,O,"2, 3, 1",descriptive; preference
q63010,Do you have names planned out for future children?,Yes.,No.,"No, and I'm not planning on any future children.",,30625,O,,descriptive
q24333,Are you squeamish about sharing food or beverages with the person you're dating?,Yes,No,Only at first,,27513,O,"2, 3, 1",descriptive
q25294,"Would you date someone who was currently in a relationship, knowing that you would 'be a secret?'","Sure, why not?",Depends on the person.,Absolutely NOT.,,25829,O,,preference
q26052,Would you date someone who was very into fantasy novels?,Yes,Maybe,"No, what a geek!",,25441,O,,preference
q60756,"If your partner wanted you to say a specific phrase during sex, would you?","Yes, I'd say anything they want me to.","No, I wouldn't.","Maybe, it would depend upon the phrase.",,30021,O,"2, 3, 1",sex/intimacy
q23233,Do you have time for a committed relationship in your life at this point?,"Yes, absolutely",Probably not,No,,23160,O,,descriptive
q23507,"Could you date someone who never, ever, threw anything away?","Yes, junk is cool",No,I don't know,,24090,O,"2, 3, 1",preference
q24282,"Outside of work and school, how inclined are you to investigate something that interests you?",Very inclined,Somewhat inclined,Not inclined,,35888,O,,descriptive
q416236,How do you feel about documentaries?,Yay!,Okay,NO.,,43521,O,,descriptive
q82566,Do you like coffee?,Yes.  I need it to function.,"Yes, but I can do without it.",No.,,28548,O,,descriptive
q82681,"If I had to choose among the following for an ideal romantic partner, I'd choose:",Someone attractive and kind.,Someone smart and kind.,Someone attractive and smart.,,28205,N,,preference
q86184,Do you keep your sexual exploits private?,"Yes, always.","No, I am an open book.",Sometimes.,,27490,O,"2, 3, 1",sex/intimacy; descriptive
q86366,Could you have respect for someone after having sex with them on the first meeting/date?,Yes.,No.,"Maybe, depending upon the circumstances.",,34988,O,"2, 3, 1",sex/intimacy; descriptive
q86544,Which of the following has the biggest influence on your behavior?,"Reason, Observation, Empiricism, Trial-And-Error.","Tradition, Faith, Upbringing, Heritage.","Emotion, Intuition, Instinct.",,28102,N,,religion/superstition; descriptive
q20298,Compassion is:,A sign of strength,A sign of weakness,Neither,,26062,N,,opinion
q20418,Do you keep a budget (of your finances)?,Yes,No,Sometimes,,43634,O,"2, 3, 1",descriptive
q20981,Genital piercings:,Make me hot,"Ouch, no thanks.",No opinion / Not sure,,29012,O,"2, 3, 1",preference
q21175,"Are you an intellectual? In the context of this question, intellectual means someone who loves learning, often for its own sake.",Yes,No,I find learning boring,,31729,O,,descriptive; cognitive
q19898,Do you enjoy finding out what makes things work the way they do?,I'm an information sponge,Sometimes,"As long as it works, who cares why?",,41310,O,,preference; descriptive
q19931,Straight women who kiss or fondle each other in clubs in the hopes of attracting men are...,Incredibly hot!,Just having some girlish fun.,Profoundly annoying.,,38427,O,,preference; opinion
q18594,"Do superficial people, who place a high emphasis on physical appearance, annoy you?",Yes,No,Sometimes,,29880,O,"2, 3, 1",descriptive
q19815,Your significant other is perfectly content with their minimum wage job and has no plans to look for more challenging/better paying work. Is this a problem?,"Yes, I wouldn't be able to tolerate that.","Somewhat, but it's their life.","No, I don't mind.",,31022,O,,preference
q20021,Which of these options most closely describes what you're looking for in your next relationship?,Someone to come home to,Someone to go out with,Someone for tonight,,40763,N,,preference
