;text;option_1;option_2;option_3;option_4;rating
q35399;What's the gender distribution of the vocalists in your music collection?;Mostly female singers.;Nearly the same male and female.;Mostly male singers.;I have little or no music collection with vocals.;
q137;Would you terminate a pregnancy if the baby was going to be mentally disabled?;Yes;No;It depends on the severity;;
q34511;Would you say you have...;A green thumb;A black thumb;A modicum of success with vegetation;Absolutely no interest in plants;
q19928;Honestly, did you ever torture a cat, dog, or any other furry animal for pleasure?;Yes, but I regret it.;NO WAY!;Yeah, that's fun.;No, but I would do it.;
q471;Do you know how to use a darkroom to develop negatives and prints?;Yes;No;;;
q46071;During conversation, do you gesticulate?;Yes.  Often.;No.  Never.;Perhaps occasionally.;I'm not sure.;
q21589;Would you consider dating someone who's never been in a relationship before?;Yes, that would be great;Yes, I think;I don't know, I don't think I could;No way!;
q946;Do you consider yourself to be good at clear verbal communication?;Yes;No;Sometimes;;
q80412;Do you own any cookbooks?;Yes.;No.;;;
q61487;If political candidates supported marijuana legalization, how would that affect your disposition toward voting for them?;I would be more likely to vote for them.;I would be less likely to vote for them.;This would not influence my vote.;;
q468;Do you like logic puzzles?;Yes;No;;;
q86615;Would you pay for porn?;Yes.;No.;Only if I couldn't get it for free.;I'm not interested in porn.;
q19784;When you draw a picture, write a poem, or otherwise do something creative, are you shy about letting other people see it?;Sometimes;Rarely;Often;If I'm still learning the required skills;
q6988;If someone sends you an e-mail (or has a profile) full of spelling and grammatical errors, are you less likely to talk to them?;Yes;No;;;
q15767;Would you be able to tell a Manet painting from a Monet painting?;Yes;No;What?;;
q55180;Do you often find that movies widely considered classics are really just over-rated?;Yes.;No.;;;
q18841;Would you date someone that you'd had a one night stand with?;Yes, but only if the sex had been good.;Yes, but only if I liked that person.;No.;;
q18759;How often do you wear underwear?;Always;Usually;Rarely;Never;
q18977;Do you believe in second chances when it comes to romantic relationships?;Yes, it may work out in another time/place.;No, it didn't work the first time, it never will;Depends on the relationship;;
q7535;Do you take pills when you have a headache?;Yes;No;;;
q459194;Do you have a favorite scent?;Yes, and it doesn't change.;Yes, but I change it every once in awhile.;No, but I'm searching for one.;No.;
q85974;If there were a political candidate who you really liked, how would you offer support in terms of time or money?;I'd devote time to work on the campaign.;I'd donate money or other tangible resources.;I'd do both of the above.;I'd do none of the above.;
q54065;If medical science completely eliminated all sexually transmitted disease, how would this affect who you would have sex with?;I would have sex with MANY more people.;I would have sex with more people.;It would not affect who I have sex with.;I would have sex with fewer people.;
q1100;Are you better looking than most people?;Yes;No;;;
q59279;When you are feeling down or blue, which is most comforting to you?;Food.;Sex.;Exercise.;Music.;
q96;Are you, or have you ever been, in a band?  (A solo act is fine, too. Don't count school bands.);Yes;No;;;
q39682;Do you have a good imagination?;Yes.;No.;;;
q24013;Consciousness is...;Biological - Brain, senses.;Spiritual - Soul, heart, spirit.;A good topic for debate, my answer is too long.;A big, scary word.;
q12954;Do you have a thing for foreign accents?;Yes;No;;;
q21896;Do you enjoy flowers?;Yes;No;Flowers are a waste of time;;
q164;Do you wear a suit to work (or female equivalent)?;Yes;No;;;
q51349;Is it possible for your partner to be too ambitious?;Yes.;No.;;;
q52431;Have you made plans to survive a natural or man-made disaster where you live?;Yes.;No.;;;
q46252;Have you performed in a theater setting as an adult?;Yes, as a professional.;Yes, as a student.;Yes, as a hobby.;No.;
q35600;Do you read in the bathroom?;Yes, usually.;No, never.;Sometimes.;;
q34929;Is it okay for someone to try and influence their romantic partner's appearance or clothing?;Couples should try to look pleasing for each other;As long as it's not extreme and they ask nicely;They shouldn't try to change their partner.;Demands create weird power struggles.;
q79708;Have you ever purposely pretended to be ignorant about something you have knowledge of because you wanted to hear someone else explain it?;Yes.;No.;;;
q14928;Can you read sheet music?;Yes;No;;;
q34679;You're early in a relationship and your significant other begins crying.  You have no idea what prompted it.  What do you do?;Gently prompt them to talk with me.;Remain quiet and open to discussion if requested.;Begin edging slowly toward the door.;Sigh exasperatedly.  Why me?;
q23439;What is your opinion about softcore pornography magazines such as Playboy and Playgirl?;Shows the beauty of the human body;Degrading to the models;Doesn't matter to me;;
q53426;When you have plans to meet someone at a certain time, it's best to be:;A little early.;A little late.;Precisely on time.;Whatever.;
q20145;Do you like to celebrate holidays?;Yes, I like to.;No, I don't like to;Depends which holiday it is;I have no preference;
q110;Can you name 5 operas, and their composers?;Yes;No;;;
q85076;What portion of your friends are citizens of a country other than your own?;All or most.;Many.;One, two or a few.;None.;
q564;Can you name five current world leaders?;Yes;No;;;
q82307;Has anyone ever pressured you to marry them and failed?;Yes.;No.;;;
q81504;Do you chew tobacco?;Yes.;No.;;;
q20036;When deciding what is right and wrong you are:;more emotional;more logical;Religion/faith determines it.;I am not sure/other reasons.;
q36695;Which is your preferred method of learning?;Traditional classroom;Computer-based instruction;Self study / reading;Other;
q525;Do you play any musical instruments?;Yes;No;;;
q50953;If someone murdered a close friend of yours, would you hope for the death penalty?;Yes.;No.;I'm not sure.;;
q59456;Would you consider dating a psychiatrist?;Yes.;No.;;;
q38623;Have you ever 'regifted' a gift you didn't like?;Yes.;No.;;;
q187;In high school, were you one of the 'cool' kids?;Yes;No;;;
q32632;When cooking food in the microwave, do you often impatiently hit the cancel button within the last few seconds rather than waiting?;Yes;No;I don't have/use a microwave;;
q30564;When facing a complicated situation, can you easily put yourself in another person's shoes and consequently see things from his or her point of view?;Yes;No;Sometimes;;
q344;Do most politicians really want to make the world a better place?;Yes;No;;;
q38653;Do you crack your knuckles?;Yes.;No.;;;
q19690;Would you date someone who used to have a problem with cutting themselves and have scars to prove it?;Yes;No;I'm Not Sure;;
q369;Which would you rather drive?;A fast sports car;An SUV;Something more environmentally friendly;;
q82428;When taking a cab, do you like talking to the driver?;Yes.;No.;I'm not sure.;;
q489;Have you ever been fired from a job?;Yes;No;;;
q254;Have you ever skied, snowboarded, surfed, or wind-surfed?;Yes;No;;;
q26204;Hypothetically, if you had an unwanted child on the way, what would you do?;Abort it;Give it up for Adoption;Keep it regardless;;
q61830;Should cigarettes be illegal?;Yes.;No.;;;
q18789;Would you prefer a daughter or a son?;Daughter;Son;Indifferent;Neither;
q49907;Might you be embarrassed if your 'offline' friends found your OkCupid profile?;Yes.;No.;;;
q47666;Do you ever rehearse or plan conversations before actually having them?;Yes.;No.;;;
q41112;Have you ever written short fiction, other than for school assignments?;No.;I've tried, but never finished a story.;I've finished at least one short story.;I've written many short stories.;
q342;Do you like stand-up comedy?;Yes;No;;;
q46455;Do you think most people your age would guess what kinds of music you listen to or don't listen to just by looking at you?;Yes.;No.;;;
q459187;How often do you wear cologne or perfume?;Every day;3 times a week;Once or twice a week;Never;
q889;Do you prefer to pursue a potential partner, or for them to pursue you?;I'd rather pursue.;I'd rather be pursued.;I prefer a little of both.;;
q36465;You have plans to hang out with some friends, but a person you have recently begun dating calls and asks you to do something for the night.  Assuming you are still interested in this person, what do you say?;Yes.  I'll see my friends another time.;No, I'm busy.  How about another time?;Sure, but let's hang out with my friends.;I'll do both somehow, but keep them separated.;
q68818;If you hooked up with someone and a pregnancy unexpectedly resulted, would you feel that you should get married?;Yes.;No.;;;
q68437;If while visiting a friend's house, you notice a painting hanging slightly off kilter.  Do you adjust it?;Yes.;No.;;;
q34641;Do you use 'Jesus Christ' or 'God damn it' when you curse?;Yes;Yes, but I regret it.;No.;I do not curse at all.;
q249;Could you do 25 pushups without stopping?;Yes;No;;;
q18648;Are you accepting of other people?;I'm highly benevolent;I'm selective;I'm fussy;I'm a hard-nosed bastard;
q36654;What is your favorite transportation medium?;Land (trains, buses, cars, bikes, feet, etc.);Sea (ships, boats, submarines, etc.);Air (airplanes, rockets, dirigibles, etc.);Other.;
q28758;You read a personal ad and it is misspelled, with poor grammar and uncertain capitalization. Do you allow that to affect your opinion of the person?;Yes;No;Maybe / Unsure;;
q58063;Do you currently subscribe to any pay-for-play online games?;Yes.;No.;;;
q8891;Do you enjoy learning about other cultures?;Yes;No;;;
q35536;Upon ending relationships and becoming single, have you made special efforts to get into shape and/or improve your physical appearance.;Yes.  Always.;After some, but not all, of my relationships.;No.  Never.;I've never ended a relationship.;
q46873;Did you have childhood heroes?  If so, were they real people or fictional characters?;No, I did not have a childhood hero.;Real people.;Fictional characters.;Both.;
q85327;Do you listen to podcasts?;Yes, frequently.;Yes, once in a while.;No.;;
q81589;If a significant other decided s/he wanted to have or adopt six children with you, would this be okay?;Yes.;No.;Possibly, depending on the situation.;;
q83841;Do you enjoy taking pictures of yourself?;Yes.;No.;I'm not sure.;;
q45717;If your partner were to provide you with a meal, which would you appreciate more?;My partner cooking my favourite meal.;My partner taking me to my favorite restaurant.;Neither - I would appreciate both equally.;;
q347;Would you, or did you, go to your 10-year high school reunion?;Yes;No, but I wanted to;No;;
q140;If you had to guess, do you think humans will go extinct in the next 1000 years?;Yes;No;;;
q21709;When you are at the movies with your date or your friends, how much talking does it take to make you upset?;No talking allowed upon the start of the film;Talking during and usually about the trailers;Little comments during the movie.;Constant chatter, to you, others, or a cell phone;
q47799;Which of the following would you most expect to determine from a first date?;Sexual compatibility.;Emotional compatibility.;Spiritual compatibility.;Financial compatibility.;
q30455;Should drugs be legalized, regulated, and taxed?;Yes;No;I'm Not Sure;;
q332;Would you ever date someone who's had cosmetic surgery?;Yes;No;;;
q45238;Have ever performed CPR on a real person?;Yes.;No, but I've been trained to.;No, and I don't know how to.;;
q15618;When you see something on sale that's buy one, get one free, does it make you want to buy it even if you don't need it?;Yes;No;;;
q18837;Someone is staring at you, and you notice. Do you:;Stare back intensely until he/she looks away?;Look away first, or immediately?;Raise an eyebrow (or two)?;Say something lame? 'Take a picture...';
q199;Do you know the square root of 256 off the top of your head?;Yes;No;;;
q40851;Imagine that a first date picks you up in a car.  The car is old and run-down, but otherwise clean.  How would the car affect your opinion of your date?;Positively - Any car is good.;Negatively - I don't like riding in old jalopies.;Could go either way, depending on the make/model.;Not at all - It's all about the driver.;
q48918;How would you feel about a partner self-stimulating while you are performing oral sex?;Insulted.;Excited.;Indifferent.;I'm not sure.;
q70863;Have you ever stayed up all night, until dawn, talking with someone you have just met?;Yes.;No.;;;
q166;Politically, which way do you lean?;To the right (republican in the US);To the left (democrat in the US);To the middle / I don't know;;
q172;Would you fight for your country in an unjust war?;Yes;No;;;
q28741;Can you write a web site in HTML (without using site building software)?;Yes;No;;;
q36345;If an otherwise perfect match gave you an ultimatum to become a vegetarian, what would you do?;Comply - Become a vegetarian.;Rebel - This would be a deal breaker.;Smile - I'm already a vegetarian.;;
q18670;Are you a member of the Society for Creative Anachronism (SCA)?;No;No, but sounds interesting.;Yes;;
q60765;When it comes to right and wrong, which of the following do you think has the greatest impact on your belief system?;Religion.;Family and/or friends.;Laws.;Self interest.;
q18247;Can you identify a French Manicure?;Yes;No;I'm Not Sure;What is a manicure?;
q19566;Would you consider dating a High School dropout?;Yes;Yes, if they are doing well;No;;
q20745;From which medium are you most likely to find out about new news stories?;Television;Newspaper;Radio;Online;
q435;Did you ever study Latin, Ancient Greek, or any other dead language, for at least a year?;Yes;No;;;
q27173;Do you get along well with shy and socially awkward people?;Yes;No;;;
q53155;Do you enjoy gardening?;Yes.;No.;I'm not sure.;;
q26469;Have you ever tasted your own sexual fluids?;Yes;No, and I would never;No, but I would;;
q34149;Do you feel you were born in the correct era/time period?;Yes, I love the current times!;No, I should've been born in the future.;No, I should've been born in the recent past.;No, I should've been born in the distant past.;
q46740;If it were possible to change your gender instantly, painlessly, reversibly, and for free, would you?;Yes.;No.;;;
q461423;Is it possible for your partner to reveal too much information?;Yes, I prefer a little bit of mystery.;Maybe, I want to know all the important stuff.;No, I want to know everything... especially the provocative stuff.;;
q19088;Do you believe there are only two genders?;Yes;No;I'm Not Sure;;
q14884;Would you date someone significantly (9 years or over) older than you?;Yes;No;I'm Not Sure;;
q42839;Which of the following learning approaches would you prefer?;Doing and figuring it out myself.;Watching someone else do it.;Listening to someone explain how it's done.;Reading about how it should be done.;
q38202;'The best days of my life' are:;In my future.;In my past.;Right now.;;
q312;Are you likely to make long, friendly conversation with strangers?;Yes;No;;;
q85813;If your significant other actively participates in an activity that you are not really interested in, would you go to offer support if they wanted you to?;Yes, as often as I could.;Yes, I'd go occasionally.;Maybe once or twice, to say I did.;No, I would not.;
q48508;If you were buying a house or apartment to live in, how important would quiet be to you?;Very important.;Somewhat important.;Not important.;;
q26300;Do people tend to take you seriously, or usually think you're being sarcastic?;Serious;Sarcastic;;;
q6018;Do you enjoy chatting on the phone with your friends?;Yes;No;;;
q18714;Which of these do you use/consult the MOST when making decisions?;Mysticism/Religion/Higher Power;Emotion/Instinct;Logic/Reason;Random Chance;
q60380;If you discovered upon death that you must reincarnate into an animal, but are only allowed a broad choice as follows, which would you select?;An animal that lives on land.;An animal that lives in the water.;An animal that can fly.;;
q19832;Would you consider attending the wedding of a relative you haven't seen since childhood?;Yes, no matter what.;No, they're not a part of my life anymore.;Depends on the circumstances. Distance, time, etc;;
q8058;How do you feel about internet sex, also known as 'cybering'?;It arouses me very much.;I don't have an opinion.;I think it's stupid.;;
q36085;Imagine that, through some misfortune, your significant other loses the ability to have sex again.  Do you stay with them?;Yes.;No.;Only if we're free to have sex with someone else.;;
q53903;How often do you make up and sing ditties?;Regularly.;Sometimes.;Never.;;
q62173;Would you be willing to go shopping for sex toys?;Yes.;No.;Online only.;;
q18185;Your family dog/cat is diagnosed with an illness, and the vet bill will be $2,000. Do you :;Save Fluffy--to hell with the expense!;Grudgingly pay the bill.;Have Fluffy put down;;
q183;Are you smarter than all your friends?;Yes;No;;;
q28549;Do you feel nauseated at the sight of blood?;Yes, if it's someone else's.;Yes, if it's mine.;Yes to both above.;No;
q17056;While shopping at a superstore (e.g. Wal-Mart, Target, etc.), if you change your mind about buying something you've picked up, do you walk back to where you found it to put it back?;Yes;No;;;
q49142;Do you store any of your physical possessions alphabetically?;Yes.;No.;;;
q45733;Which of the following philosophies do you most closely follow?;Treat others as I would like to be treated.;Treat others as they treat me.;Treat others as best benefits me.;;
q69;Are you more of a fast or careful talker?;Fast;Careful;;;
q1455;Do you consider yourself an artist of any kind? (Music, painting, poetry, etc. all count.);Yes;No;;;
q311;When you're around new people, are you more of a leader, or are you more cooperative?;More of a leader;More cooperative;;;
q80180;Have you ever purchased a math textbook purely for your own enjoyment?;Yes.;No.;;;
q144;Would you ever sleep with a serial killer?;Yes;No;;;
q18564;Do you believe that it is possible to experience romantic love for more than one person at a time without loving one less because of your love for the other?;Yes;No;I'm Not Sure;;
q85999;Imagine you are very interested in a long-term relationship with someone.  Would it be worse if they wanted you only for casual sex or if they were not interested in sex with you at all?;Wanting me only for casual sex would be worse.;Wanting no sex with me at all would be worse.;;;
q38249;How well do you sleep when you're in unfamiliar surroundings?;Better than usual.;The same as usual.;Worse than usual.;;
q85962;Which most closely describes how you organize your sock drawer?;I pair them before I put them away.;I pair them when I get dressed.;I have them paired and organized by color.;I take them out of the laundry when I dress.;
q227646;How do you describe yourself politically?;As a Republican;As a Democrat;As a an Independent/Something Else;None of these / I'm not American;
q39875;Which do you own more of?;Books.;Movies.;Music.;Games.;
q31321;Would you stay in a relationship if your significant other told you, 'I no longer feel that deep love I once felt for you, but I'm willing to stay together until I work through this'?;Yes;No;I'm Not Sure;;
q20121;Would you date someone who wore a hearing aid?;Yes;No;Perhaps if it were small and difficult to notice.;;
q36970;Would you be willing to dress up as a member of the opposite sex if it would turn your partner on?;If it excites them, I'd even do it in public.;Yes, but only in private.;No.;I do it already!;
q19481;On average, how do your friends compare to you, age-wise?;They're mostly older than I;They're mostly younger than I;They're about the same age;I don't have that many friends;
q656;Has Christianity made the world better or worse?;Better;Worse;No opinion / Not sure;;
q20773;Hypothetical: You are (romantically) interested in someone. After a few dates there is definitely chemistry. Since your last encounter, they've had a brief fling, but are still very interested in you. How do you feel?;I want nothing more to do with them...;I'm unimpressed, but will give them a chance...;It really doesn't matter...;;
q36346;Do you usually add salt to your meals?;Yes;No;;;
q61958;Imagine you become involved in a relationship with a someone who has a specific sexual fetish, without which they cannot be satisfied.  If the fetish is harmless, but does nothing for you, how enthusiastic would you be about it?;Very enthusiastic.;Somewhat enthusiastic.;Not at all enthusiastic.;;
q18861;What do you think of the game of Rugby?;A game for savage barbarians;Cool, but not for me..;Can't get enough of it!;I don't know anything about it/I don't care;
q12945;A photographer approaches you on the street and asks to take your picture. What do you do?;Pose for them;Politely refuse;;;
q340;Do you think angry or pornographic music lyrics should be kept, by law, away from kids?;Yes;No;;;
q61570;Would you consider dating someone who plans to remain celibate indefinitely?;Yes.;No.;;;
q49267;Do you believe that illegal residents should be deported from your country?;Yes, all of them;Some of them;No, none of them;;
q47222;Have you ever formed an opinion about a stranger in a grocery store, based primarily on the items he or she is buying?;Yes.;No.;;;
q1117;Would you date someone with a mental illness?;Yes;Depends on the illness;Only if they're symptom free through treatment;No;
q252;Have you ever been arrested, even if just for a small crime or misdemeanor?;Yes;No;;;
q34933;How do you generally do on standardized tests?  And how do you feel about them?;I do pretty well, but they're pointless.;I don't do that well, and they're pointless.;I do pretty well, and they serve some purpose.;I don't do that well, but they serve some purpose;
q70508;Would you have sex with someone, if you were blindfolded and would never know who it was, only that it would be someone you had never met before?;Yes.;No.;;;
q316;Have you ever read Shakespeare, other than for a class?;Yes;No;;;
q34177;Do you like to be friends with someone before you start a romantic relationship with him/her?;Yes;No;It depends;;
q339;Do you like reggae music a lot?;Yes;No;;;
q65032;Have you ever had unwanted hair removed by waxing?;Yes.;No.;;;
q18820;Is your alarm clock :;Your best friend.;The bane of your existence.;Useful, unless I'm hungover.;Useless, I have an internal clock.;
q38555;How often were you picked on by other kids your age when you were growing up?;Very often.;Sometimes.;Rarely.;Never.;
q68746;If someone identifies as a feminist, does that raise or lower your opinion of them?;It raises my opinion.;It lowers my opinion.;It has no effect on my opinion.;;
q48960;Would you consider dating someone who does not know how to drive a car?;Yes.;No.;;;
q18622;Could you date someone who has radically different musical preferences than you?;Yes, variety is the spice of life;No, I don't want to hear it;I'm not sure, depends on the music;I'd insist they like my music;
q447;Do you think most people tell at least one lie most days?;Yes;No;;;
q50565;Do you blush easily?;Yes.;No.;;;
q53;When telling stories, do you like to exaggerate?;Yes;No;;;
q14649;Would you ever ask your parent(s) for love advice?;Yes;No;;;
q469;Do you like word games like Scrabble or Boggle?;Yes;No;;;
q8444;Would a partner with big hands and feet (bigger than average) turn you off?;Yes;No;I'm Not Sure;;
q37772;If you had to choose one for the rest of your life, which would you pick?;Monogamy;An open relationship;Polyamory;Playing the field;
q49547;Would receiving a massage from someone, whom you find very attractive, arouse you sexually?;Yes.;No.;I'm not sure.;;
q18832;If you could only keep one sense, what would it be?;Sight;Hearing;Touch;Smell;
q61733;Would you be pleased if a partner expressed the desire to be sexually humiliated by you?;Yes.;No.;;;
q85530;Do you maintain a current profile on a social networking site such as MySpace or Facebook?;Yes.;No.;;;
q18902;Would you date someone who was only interested in a committed, long-term relationship?;Yes;No;I'm Not Sure;;
q84611;Do you have a workout buddy?;Yes.;No, I prefer to exercise alone.;No, I exercise in groups (classes / team sports).;No, I'm not into working out.;
q19772;Which of the two would be your preference: A lifetime supply of your favorite snack food or a 30-minute orgasm??;Duh. The 30-minute orgasm;Give me the Snacks!;;;
q54040;Would you continue in a relationship if you knew your partner was faking their enjoyment of sex just to make you happy?;Yes.;No.;;;
q33107;Would you consider being part of a committed polyamorous relationship (i.e., three or more people but no sex outside the group)?;Yes, I like that type of polygamy.;I could be convinced by the right people;I am commited to total monogamy;I have open relationships only;
q79726;If you found out the person you're dating cannot achieve orgasm without being slapped hard across the face, would you be willing to satisfy them in this way?;Yes.;No.;;;
q85900;Imagine you are walking down the street at night and hear a cry for help.  Which would you do?;Call the police.;Investigate.;Call the police and investigate.;Ignore it.;
q1121;Have you ever had multiple romantic partners during the same time period?;Yes, and they both knew.;Yes, and I didn't tell at least one of them.;No.;;
q61666;In a relationship, how important is it for you to be in control?;Very important.;Somewhat important.;Not at all important.;;
q18906;Does the idea of time travel appeal to you?;Yes;No;;;
q43295;If you were going to throw a party, which of the following sounds most appealing?;Wine and cheese.;Cocktails and hors d'oeuvres.;Beer and barbeque.;Anything without alcohol.;
q85670;Are nudity and pornography the same thing?;Yes.;No.;;;
q41554;Would you consider attending a clothing-optional costume party where the dress code permits guests to wear nothing more than body paint?;Yes, and I'd be wearing little more than paint.;Yes, but I'd wear a more traditional costume.;No.;;
q1435;Do you consider yourself sexually open minded?;Yes;No;;;
q1124;Would you say your actions are guided more by your head or your heart?;Head;Heart;Genitalia;;
q37044;Would you read a book recommended to you by a significant other?;Yes.;No.;Maybe, depending on the book.;;
